                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5572,                 2.8747,                 1.7564,                 1.4914,                0.39378,                0.40816,                0.34387,                  0.189,                0.37454,                0.38062,                 0.3082,                0.14662,                 1.6655,                 3.1636,                 2.0323,                 1.7373,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.5351,                 2.8684,                 1.7223,                   1.48,                 0.4675,                0.39622,                0.36861,                0.17425,                0.46618,                 0.3474,                0.34632,                0.13901,                 1.8376,                 3.2213,                 2.2434,                 1.8667,               0.001469,               0.001469,               0.001469
                     26,                 1.5176,                  2.836,                 1.6946,                   1.46,                0.44192,                 0.4048,                0.32493,                0.17519,                0.44236,                0.38753,                0.31386,                0.13499,                 1.8443,                 3.1742,                 2.0123,                 1.8486,              0.0014607,              0.0014607,              0.0014607
                     27,                  1.493,                 2.7864,                 1.6358,                  1.445,                0.39802,                0.43854,                0.35373,                0.17329,                0.38311,                0.43599,                0.33207,                0.13578,                 1.8939,                 3.2315,                 2.1286,                   1.89,              0.0014525,              0.0014525,              0.0014525
                     28,                  1.482,                 2.7853,                 1.6322,                 1.4362,                0.40741,                0.39001,                 0.3378,                0.18156,                0.39675,                 0.3997,                0.32619,                 0.1442,                 1.8465,                 3.1319,                 2.1603,                 1.9526,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.5091,                 2.7552,                 1.6496,                 1.4418,                0.47482,                0.38776,                0.38059,                0.18418,                 0.4034,                0.39007,                0.32992,                  0.142,                 1.8725,                 3.2035,                 2.0337,                 1.9168,               0.001436,               0.001436,               0.001436
                     30,                 1.5094,                 2.8051,                 1.6382,                 1.4396,                0.51068,                0.36793,                0.38666,                0.19131,                0.49071,                0.37245,                0.36198,                0.15566,                 1.9395,                 3.1216,                 2.0719,                  1.983,              0.0014277,              0.0014277,              0.0014277
                     31,                 1.4843,                 2.7441,                 1.6112,                 1.4427,                0.46688,                0.38776,                0.36764,                0.19056,                 0.4428,                0.36561,                0.33178,                0.14727,                 1.9033,                 3.0856,                 2.0698,                 2.0458,              0.0014195,              0.0014195,              0.0014195
                     32,                 1.4779,                 2.7218,                 1.5805,                 1.4198,                0.36617,                0.42605,                0.34154,                0.17006,                0.35645,                0.42209,                0.32181,                 0.1453,                 1.9103,                 3.1834,                  2.131,                 1.9012,              0.0014112,              0.0014112,              0.0014112
                     33,                 1.4366,                 2.7082,                 1.5449,                 1.4031,                0.58794,                0.33607,                0.37054,                0.18835,                0.45651,                0.32653,                0.33166,                0.15292,                 1.8974,                 3.1556,                  1.969,                 2.0051,              0.0014029,              0.0014029,              0.0014029
                     34,                 1.4459,                  2.669,                 1.5081,                 1.3921,                0.48803,                 0.3866,                0.38705,                0.21027,                0.46471,                0.39147,                0.35712,                0.16991,                 1.8621,                 3.1878,                 1.9635,                 1.9374,              0.0013947,              0.0013947,              0.0013947
                     35,                 1.4344,                 2.6873,                 1.5212,                 1.4027,                0.41183,                0.42069,                0.36481,                0.19384,                0.39543,                0.40364,                0.34085,                0.15749,                 1.8481,                 3.0784,                 2.1421,                 1.9911,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.4323,                 2.6469,                 1.4701,                  1.385,                0.49546,                0.37068,                0.37574,                0.19493,                0.47695,                0.38871,                0.34506,                0.15899,                 1.8886,                  3.052,                  2.101,                 1.9124,              0.0013782,              0.0013782,              0.0013782
                     37,                    1.4,                 2.6406,                 1.4749,                 1.3801,                0.58163,                0.38555,                0.41279,                0.21687,                0.56389,                0.37477,                0.37043,                0.16897,                 1.8893,                  3.226,                 2.1586,                 1.9928,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.4008,                 2.6113,                 1.4408,                 1.3716,                0.49826,                0.42831,                0.39531,                0.20186,                 0.4516,                 0.3917,                0.33733,                0.15839,                 1.8322,                  3.152,                  1.962,                 1.8385,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.3841,                 2.5854,                 1.4084,                 1.3588,                0.55281,                0.37871,                0.38041,                0.19198,                0.52778,                0.36224,                0.34572,                0.16418,                 1.8118,                 3.3326,                 2.1397,                 1.9042,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.3964,                 2.6142,                 1.4411,                 1.3658,                0.43004,                0.39551,                0.37431,                0.19057,                0.36131,                0.40636,                0.33055,                0.14781,                 1.8886,                 3.5053,                 2.1187,                 1.9524,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.4048,                 2.6153,                 1.4444,                 1.3685,                0.49923,                0.33043,                0.36673,                0.19889,                0.50274,                  0.309,                0.32919,                0.16519,                 1.8887,                 3.0547,                 2.1524,                 1.9108,              0.0013369,              0.0013369,              0.0013369
                     42,                  1.379,                 2.5658,                 1.3788,                 1.3355,                0.48412,                0.37211,                 0.3541,                0.17649,                 0.4684,                0.37071,                0.31092,                0.13795,                 1.9189,                 3.3407,                 2.1799,                 1.9784,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.3862,                 2.5847,                 1.3989,                 1.3568,                0.49403,                0.43404,                0.42229,                0.22253,                0.51679,                0.41619,                  0.404,                0.17507,                 1.7518,                 3.1173,                 1.8861,                 1.8447,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.3954,                 2.5592,                 1.3908,                 1.3557,                0.61109,                0.37813,                0.37836,                0.18204,                0.58263,                0.36167,                0.33848,                0.15335,                 1.9163,                 3.1891,                 2.2113,                 1.9732,              0.0013122,              0.0013122,              0.0013122
                     45,                 1.3537,                 2.5334,                 1.3453,                 1.3223,                0.62588,                 0.4077,                0.40587,                0.20497,                0.50713,                0.38555,                0.34514,                0.16186,                 1.9654,                 3.1879,                 2.0185,                  2.061,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.3533,                 2.4984,                 1.3464,                 1.3265,                0.58743,                0.35146,                0.37162,                0.18415,                0.53527,                0.34144,                0.35101,                0.15017,                  1.984,                 3.1721,                 2.2083,                 2.1138,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.3377,                 2.4823,                 1.3023,                 1.3098,                0.45862,                0.45304,                0.39571,                0.19999,                0.52873,                0.36619,                0.36854,                0.15389,                 1.8832,                 3.1618,                  2.145,                 1.9981,              0.0012874,              0.0012874,              0.0012874
                     48,                 1.3451,                 2.5238,                 1.3322,                 1.3234,                0.37963,                 0.3939,                0.35471,                0.16788,                0.34541,                0.43251,                  0.321,                0.13914,                 2.0016,                 3.2808,                 2.1904,                 2.0487,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.3444,                 2.4915,                 1.3152,                 1.3157,                 0.4714,                 0.3997,                 0.3826,                0.19119,                0.45442,                0.40364,                0.33827,                0.15358,                 1.8553,                 3.3115,                 2.1265,                 1.9691,              0.0012709,              0.0012709,              0.0012709
                     50,                  1.325,                 2.4435,                 1.2563,                 1.2967,                0.49608,                0.38853,                0.35592,                0.17125,                0.44257,                0.38833,                0.30106,                0.12929,                 2.0013,                 3.2518,                 2.0158,                 2.0733,              0.0012627,              0.0012627,              0.0012627
                     51,                   1.32,                 2.4563,                 1.2779,                 1.3013,                0.47465,                0.38439,                0.36745,                0.16978,                0.44696,                0.36909,                0.31748,                0.13756,                 1.9577,                  3.159,                 2.1655,                 2.0901,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.3259,                 2.4397,                 1.2699,                 1.2974,                0.46022,                0.44457,                0.37521,                0.17908,                0.44095,                0.42243,                0.33142,                0.14221,                 1.9635,                 3.2479,                 2.0197,                 2.0481,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.3268,                 2.4719,                 1.2789,                 1.3086,                0.46981,                0.42185,                0.38299,                0.18245,                0.43066,                0.41048,                0.32952,                  0.151,                 1.9137,                 3.2746,                 2.0342,                 2.0229,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.3008,                 2.4239,                 1.2413,                 1.2799,                0.45064,                0.46725,                0.39901,                0.19391,                0.42104,                0.44323,                0.35445,                0.15658,                 1.9775,                  3.234,                 1.9914,                 2.0514,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.3001,                 2.4176,                 1.2294,                 1.2791,                0.55196,                0.42111,                0.40349,                0.18607,                0.43187,                 0.4077,                0.34776,                0.15105,                 1.9931,                  3.297,                 2.0054,                 2.1399,              0.0012214,              0.0012214,              0.0012214
                     56,                 1.3074,                 2.4052,                  1.237,                  1.285,                0.50333,                0.41364,                0.38386,                0.19525,                0.46925,                 0.3872,                0.33918,                0.15839,                 1.8865,                 3.2443,                 1.9626,                 1.9399,              0.0012132,              0.0012132,              0.0012132
                     57,                 1.2737,                 2.4021,                 1.2384,                 1.2847,                 0.5283,                0.38891,                0.38683,                0.19288,                0.42679,                 0.4315,                0.35051,                 0.1561,                 1.9726,                 3.2294,                 2.1859,                 2.0314,              0.0012049,              0.0012049,              0.0012049
                     58,                 1.2885,                 2.3994,                  1.193,                 1.2701,                0.45673,                0.37258,                0.36744,                0.18038,                0.40386,                0.37477,                0.31969,                0.14626,                 1.8804,                   3.42,                 2.0989,                 2.0225,              0.0011967,              0.0011967,              0.0011967
                     59,                 1.2408,                 2.3239,                 1.1599,                 1.2436,                0.55132,                0.45304,                0.38624,                0.18286,                0.52446,                0.43089,                0.35983,                0.15647,                 1.9099,                  3.299,                  2.205,                 2.0427,              0.0011884,              0.0011884,              0.0011884
                     60,                 1.2707,                 2.3618,                 1.1927,                 1.2654,                0.47104,                0.46162,                 0.3891,                0.19462,                0.45503,                0.45594,                0.36246,                0.15994,                 1.9789,                 3.3201,                 2.1055,                 2.0584,              0.0011802,              0.0011802,              0.0011802
                     61,                  1.249,                  2.326,                 1.1661,                 1.2513,                0.52865,                0.38381,                0.37519,                0.17882,                0.48472,                0.35656,                 0.3245,                0.14602,                 1.9321,                 3.3379,                 2.0964,                 2.0322,              0.0011719,              0.0011719,              0.0011719
                     62,                 1.2621,                 2.3298,                 1.1684,                 1.2513,                0.54983,                0.44736,                 0.4381,                0.22136,                0.52793,                  0.415,                0.39226,                0.17175,                  1.968,                 3.4932,                 2.0721,                 2.0719,              0.0011636,              0.0011636,              0.0011636
                     63,                 1.2597,                   2.37,                  1.156,                 1.2532,                0.47257,                0.40028,                0.38199,                0.20163,                0.48494,                0.37871,                 0.3516,                0.16213,                 1.9111,                 3.2989,                 2.1456,                 2.0535,              0.0011554,              0.0011554,              0.0011554
                     64,                 1.2549,                 2.3567,                  1.174,                 1.2578,                0.52612,                0.35598,                0.37108,                0.18767,                0.44892,                0.38265,                0.33263,                0.14748,                 1.8878,                  3.355,                  1.941,                 1.9976,              0.0011471,              0.0011471,              0.0011471
                     65,                 1.2376,                  2.307,                 1.1337,                 1.2425,                0.41151,                0.47423,                0.37819,                0.18881,                0.39141,                0.45324,                0.34578,                0.15639,                 1.8845,                 3.4255,                 2.2258,                 1.9811,              0.0011389,              0.0011389,              0.0011389
                     66,                 1.2277,                 2.3136,                 1.1345,                 1.2359,                0.46642,                 0.4048,                0.37646,                0.18789,                0.44418,                0.35598,                0.32324,                0.15211,                 1.9518,                 3.4596,                  2.118,                 2.0225,              0.0011306,              0.0011306,              0.0011306
                     67,                 1.2314,                 2.3099,                 1.1409,                 1.2415,                0.47399,                0.43049,                0.38546,                 0.1918,                0.44946,                0.40892,                0.33343,                0.15276,                 1.9519,                  3.477,                 2.2609,                 1.9929,              0.0011224,              0.0011224,              0.0011224
                     68,                 1.2256,                 2.2751,                 1.1065,                 1.2297,                0.51508,                0.44631,                0.39773,                0.20732,                 0.4541,                 0.4026,                0.33544,                 0.1581,                 1.8581,                 3.3801,                 2.0498,                 1.9916,              0.0011141,              0.0011141,              0.0011141
                     69,                 1.2344,                 2.2976,                 1.1313,                 1.2333,                0.45626,                0.42185,                0.36592,                0.18491,                0.42024,                0.38949,                0.31956,                0.14522,                 2.0032,                  3.448,                 2.1686,                 2.1505,              0.0011059,              0.0011059,              0.0011059
                     70,                 1.2146,                 2.2752,                 1.1045,                 1.2287,                0.47143,                 0.4542,                0.38514,                0.18777,                0.42254,                0.41844,                 0.3305,                0.15004,                 1.9975,                 3.5805,                 2.1775,                 2.1456,              0.0010976,              0.0010976,              0.0010976
                     71,                 1.2179,                 2.2424,                 1.0936,                 1.2213,                0.48575,                0.42462,                0.39083,                0.18929,                0.45397,                0.39737,                0.35346,                 0.1558,                 2.0624,                 3.4006,                 2.1136,                 2.2564,              0.0010894,              0.0010894,              0.0010894
                     72,                 1.1857,                 2.2039,                 1.0435,                  1.206,                0.43964,                0.44562,                0.39452,                0.19372,                0.42733,                0.42915,                0.36099,                0.15616,                  1.993,                 3.4666,                 2.1185,                 2.1194,              0.0010811,              0.0010811,              0.0010811
                     73,                 1.1885,                 2.2102,                 1.0566,                 1.2092,                 0.5303,                0.41496,                 0.3945,                0.19317,                0.48022,                0.41442,                 0.3423,                0.15466,                 2.0045,                 3.4415,                 2.2244,                 2.1161,              0.0010729,              0.0010729,              0.0010729
                     74,                 1.2171,                 2.2698,                 1.0961,                 1.2273,                0.51688,                0.42521,                0.38994,                0.18475,                0.48036,                0.39344,                0.32236,                0.14352,                 1.9335,                 3.4195,                 2.2279,                 2.0746,              0.0010646,              0.0010646,              0.0010646
                     75,                 1.1925,                 2.2134,                 1.0579,                 1.2141,                0.53183,                0.42753,                0.39736,                0.19399,                0.55669,                0.37813,                0.34258,                0.16005,                 2.0446,                 3.5065,                 2.0529,                 2.1698,              0.0010564,              0.0010564,              0.0010564
                     76,                 1.1915,                  2.217,                 1.0549,                 1.2071,                0.52426,                0.39092,                0.38054,                0.19264,                0.47058,                0.38103,                0.33476,                0.14844,                 1.9004,                 3.5836,                 2.0778,                 2.0907,              0.0010481,              0.0010481,              0.0010481
                     77,                 1.1792,                 2.2205,                 1.0445,                 1.2069,                 0.5294,                0.45443,                0.41914,                 0.2107,                0.50234,                0.41674,                 0.3616,                0.16083,                 1.9246,                 3.7014,                 2.0215,                 1.9923,              0.0010399,              0.0010399,              0.0010399
                     78,                 1.1982,                  2.233,                 1.0625,                 1.2148,                0.49831,                0.45133,                0.40299,                0.19322,                0.45717,                0.40932,                0.35474,                0.15308,                 1.9309,                 3.5801,                 2.0981,                  2.029,              0.0010316,              0.0010316,              0.0010316
                     79,                 1.1675,                 2.1889,                 1.0283,                 1.1981,                0.50946,                0.44377,                0.39928,                0.19251,                0.46335,                0.43773,                0.34913,                0.15529,                 1.9452,                 3.3837,                 1.9371,                 2.0734,              0.0010234,              0.0010234,              0.0010234
                     80,                 1.1753,                  2.189,                 1.0303,                 1.1982,                0.44697,                0.47066,                 0.3916,                 0.1858,                 0.4752,                0.36282,                0.32713,                0.14319,                 1.9941,                 3.3229,                 2.2474,                 2.1643,              0.0010151,              0.0010151,              0.0010151
                     81,                 1.1697,                 2.1766,                 1.0288,                 1.1939,                0.48872,                0.43729,                  0.402,                0.19681,                0.48308,                0.39144,                0.35275,                0.15862,                 2.0034,                 3.3246,                 2.1522,                  2.091,              0.0010069,              0.0010069,              0.0010069
                     82,                  1.161,                 2.2028,                 1.0049,                 1.1872,                0.47113,                0.43437,                0.39216,                0.19923,                0.47094,                0.39873,                0.36686,                0.16252,                  1.919,                 3.4277,                 2.1134,                 2.0797,             0.00099862,             0.00099862,             0.00099862
                     83,                  1.188,                 2.2128,                 1.0475,                 1.2066,                 0.5554,                0.39518,                0.37959,                0.19077,                0.51716,                0.38439,                0.33451,                0.15688,                  2.074,                  3.457,                 2.1138,                 2.2284,             0.00099036,             0.00099036,             0.00099036
                     84,                 1.1398,                 2.1639,                 1.0079,                 1.1853,                0.61657,                0.40654,                0.41365,                0.20501,                0.57464,                0.38497,                 0.3781,                0.17009,                 2.0242,                 3.3462,                 2.1951,                 2.1606,             0.00098211,             0.00098211,             0.00098211
                     85,                 1.1496,                 2.1388,                0.98661,                 1.1808,                0.59333,                0.37755,                0.38924,                0.19486,                0.54824,                0.37813,                0.35464,                0.16081,                 1.9864,                 3.3997,                 2.1709,                 2.1165,             0.00097386,             0.00097386,             0.00097386
                     86,                  1.137,                 2.1575,                0.98162,                 1.1794,                 0.5673,                0.42874,                0.39287,                0.19294,                0.52166,                 0.3997,                0.33006,                0.14853,                 1.9793,                 3.5921,                 1.9951,                 2.0867,             0.00096561,             0.00096561,             0.00096561
                     87,                 1.1486,                 2.1269,                0.98782,                 1.1847,                0.53528,                0.43147,                 0.4164,                0.20375,                0.46483,                0.37813,                0.33115,                0.15615,                  1.879,                 3.4937,                 2.0602,                 2.0336,             0.00095736,             0.00095736,             0.00095736
                     88,                 1.1688,                 2.1725,                 1.0079,                 1.1896,                0.47171,                0.44263,                0.37974,                0.19271,                0.45397,                0.43524,                 0.3488,                0.15669,                 2.0199,                 3.3771,                 2.0791,                 2.1737,             0.00094911,             0.00094911,             0.00094911
