                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5282,                 2.7898,                 1.6442,                 1.4221,                0.38122,                0.38822,                0.29807,                 0.1471,                0.38389,                0.32978,                0.28007,                0.11588,                 1.8966,                 3.3857,                 2.3145,                 1.8629,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.5146,                 2.7725,                 1.6338,                 1.4185,                0.36036,                0.38829,                0.30258,                0.14213,                0.33025,                0.35308,                0.25913,                 0.1122,                 1.8864,                 3.6067,                 2.1852,                 1.8996,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.4947,                 2.7422,                 1.5928,                 1.4029,                 0.3677,                0.37013,                0.30185,                0.13716,                 0.3457,                0.36561,                0.28311,                 0.1059,                 1.8645,                 3.3549,                 2.2594,                 1.9125,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.4954,                 2.7411,                 1.5834,                    1.4,                0.40116,                0.31311,                 0.3063,                0.15263,                0.37475,                0.29801,                0.27504,                0.12226,                 1.9349,                 3.4703,                 2.2231,                 1.9345,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.4621,                 2.6882,                 1.5344,                 1.3903,                0.40642,                0.42069,                0.32263,                0.16415,                 0.3514,                0.39027,                0.29167,                0.12791,                 1.9161,                 3.4272,                 2.2164,                 1.8962,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.4668,                 2.6699,                 1.5188,                  1.372,                0.38133,                0.41895,                0.34186,                0.16116,                0.39657,                0.41706,                0.32189,                0.12506,                 1.9675,                 3.3405,                 2.1182,                 1.9443,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.4561,                 2.6638,                 1.4786,                 1.3596,                0.45731,                0.30123,                0.33091,                0.15315,                0.39156,                0.26287,                0.26788,                0.11699,                 1.9515,                 3.3784,                 2.3908,                 1.9015,              0.0097129,              0.0097129,              0.0097129
                     31,                  1.427,                 2.6119,                 1.4682,                  1.348,                0.45509,                0.36839,                0.31939,                0.16017,                 0.4587,                0.33067,                0.28325,                0.12226,                  1.842,                  3.355,                 2.2304,                 1.8718,               0.009703,               0.009703,               0.009703
                     32,                 1.4359,                 2.6436,                 1.4559,                 1.3587,                0.38099,                0.43031,                0.33881,                0.16942,                0.39701,                0.42463,                 0.3262,                0.13336,                 1.8397,                 3.3547,                 2.2058,                 1.8309,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.4382,                 2.6432,                 1.4638,                 1.3559,                0.46125,                0.42799,                0.35635,                 0.1637,                0.41105,                0.38091,                0.29979,                0.11951,                 1.8587,                 3.2565,                 2.2095,                 1.8558,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.4171,                 2.6024,                 1.4199,                 1.3381,                0.38429,                0.38833,                0.31698,                0.14378,                0.37897,                0.40422,                0.29264,                0.11862,                 1.9554,                 3.2952,                  2.226,                 1.9364,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.4031,                 2.5793,                 1.4071,                 1.3321,                0.43088,                 0.3817,                0.33244,                0.16411,                0.42421,                0.34782,                0.29043,                0.12574,                 1.8709,                 3.4355,                  2.206,                 1.8311,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.4168,                 2.5685,                 1.3879,                 1.3279,                0.38544,                0.44156,                0.32613,                0.14786,                0.40327,                0.36723,                0.28933,                 0.1129,                 1.9059,                 3.3157,                 2.1361,                   1.88,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.3897,                 2.5243,                 1.3802,                 1.3301,                0.44637,                0.43205,                0.36714,                0.17225,                0.38643,                0.38949,                 0.2997,                0.13252,                 1.8563,                 3.5393,                 2.2477,                 1.9009,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.3832,                 2.5406,                 1.3713,                 1.3274,                0.42776,                0.41048,                0.35509,                0.16475,                0.39988,                0.38265,                0.30722,                0.11907,                 1.8362,                 3.7266,                 2.1861,                 1.8586,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.3659,                 2.5176,                 1.3467,                 1.3132,                0.37442,                0.38648,                0.29548,                0.13024,                0.35123,                0.35019,                0.24799,                0.09763,                 2.0059,                 3.4476,                 2.5261,                 1.9645,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.3729,                 2.5174,                 1.3376,                 1.3127,                0.39695,                0.39572,                0.34871,                0.16563,                0.38757,                0.33094,                0.29102,                0.12911,                 1.8424,                 3.4375,                 2.2277,                 1.8139,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.3512,                  2.479,                 1.3032,                 1.2955,                0.41511,                0.32247,                  0.276,                0.13141,                0.40196,                0.31621,                0.24817,                0.09647,                 1.9655,                  3.646,                 2.3679,                 1.9328,               0.009604,               0.009604,               0.009604
                     42,                 1.3544,                 2.4807,                 1.2988,                 1.2942,                0.32908,                0.39958,                0.30029,                0.13811,                0.36426,                0.31884,                0.27417,                0.11277,                  1.911,                  3.457,                 2.3133,                 1.9855,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.3479,                 2.4726,                 1.2916,                 1.2904,                 0.5135,                0.39279,                0.39073,                0.17935,                0.47507,                0.39054,                 0.3448,                0.14731,                 1.9239,                 3.2597,                 2.0557,                 1.9321,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.3296,                 2.4362,                  1.276,                  1.284,                0.50871,                0.42301,                0.39072,                0.20194,                0.46339,                0.39634,                0.35813,                0.15645,                  1.847,                 3.4272,                 2.0629,                 1.8672,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.3176,                 2.4389,                 1.2562,                 1.2782,                0.44169,                0.42798,                0.36965,                0.17765,                0.41212,                0.42973,                0.32638,                0.14015,                  1.876,                 3.4742,                 2.0486,                 1.8783,              0.0095644,              0.0095644,              0.0095644
                     46,                   1.32,                 2.4139,                 1.2212,                 1.2689,                0.45579,                0.37013,                0.35317,                0.15536,                0.46104,                0.37581,                0.33313,                0.12175,                 1.9603,                 3.4581,                 2.2482,                 1.9757,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.3038,                 2.3768,                 1.2155,                 1.2574,                0.38202,                0.42557,                 0.3394,                0.15765,                0.36066,                 0.3939,                0.30447,                0.12505,                 1.8921,                 3.6304,                 2.1978,                 1.8771,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.3021,                 2.4004,                 1.1977,                 1.2491,                0.54039,                0.33163,                0.36207,                0.17198,                 0.4777,                0.30019,                0.29711,                 0.1288,                 1.9256,                 3.5311,                 2.1567,                  1.923,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.2941,                 2.3629,                 1.1974,                 1.2519,                0.49913,                0.37813,                 0.3733,                0.15952,                0.42269,                0.33047,                0.28681,                 0.1222,                 1.9848,                 3.6339,                 2.3081,                 2.0441,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.2862,                 2.3561,                 1.1948,                 1.2501,                0.46899,                0.34114,                0.34244,                0.15606,                0.45677,                 0.2804,                0.26392,                0.11722,                 1.9459,                 3.5486,                 2.1702,                 1.9829,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.2901,                 2.3659,                 1.1896,                 1.2442,                0.37284,                0.45072,                0.32885,                0.15695,                0.34683,                0.41442,                0.28306,                 0.1164,                 1.9145,                 3.3308,                 2.2919,                  1.967,               0.009505,               0.009505,               0.009505
                     52,                 1.2738,                 2.3332,                 1.1581,                 1.2363,                0.51859,                0.38776,                0.38558,                0.16979,                0.48784,                0.38323,                0.34476,                0.14344,                 1.9247,                 3.4894,                 2.1871,                 1.9207,              0.0094951,              0.0094951,              0.0094951
                     53,                  1.272,                 2.3319,                 1.1568,                 1.2381,                0.35678,                0.38718,                0.31666,                0.15489,                0.35795,                0.29638,                0.25215,                0.11604,                 2.0132,                 3.7486,                 2.3919,                 2.0512,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.2677,                 2.3273,                 1.1564,                 1.2322,                0.40896,                0.39854,                 0.3396,                  0.151,                0.36544,                0.36167,                0.27663,                0.12102,                 1.9044,                  3.402,                 2.1692,                 1.9524,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.2629,                 2.3082,                 1.1472,                 1.2295,                0.54779,                 0.3997,                0.37926,                  0.178,                0.51798,                0.37755,                0.32546,                0.14029,                  1.839,                 3.4138,                 2.0588,                 1.9334,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.2506,                 2.3075,                 1.1107,                 1.2236,                0.49255,                0.36271,                0.30891,                0.14434,                 0.4367,                0.30543,                0.25844,                0.10554,                 2.0347,                 3.6982,                  2.234,                 2.0331,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.2496,                 2.3116,                 1.1353,                 1.2292,                0.38876,                 0.3968,                0.31185,                0.13094,                0.35099,                0.35819,                0.25663,                0.10008,                 1.9626,                 3.6436,                 2.2387,                 2.0046,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.2452,                 2.3078,                  1.115,                 1.2222,                0.53249,                0.42818,                0.40873,                0.19213,                0.40468,                0.44225,                0.34491,                0.15274,                 1.9253,                 3.4996,                 2.0182,                 1.9541,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.2401,                 2.2893,                 1.1065,                 1.2147,                0.52731,                0.43831,                0.37059,                0.17488,                0.49451,                0.41164,                0.32671,                 0.1388,                 1.9467,                 3.4117,                 2.2932,                 1.9324,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.2307,                  2.282,                 1.0896,                 1.2122,                0.52837,                0.34636,                0.34988,                0.15934,                0.46283,                0.35146,                0.29778,                0.11891,                 1.8878,                 3.5826,                 2.3479,                  1.964,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.2257,                 2.2364,                 1.0824,                 1.2058,                0.54887,                0.38103,                 0.3864,                0.19235,                0.50804,                0.34868,                0.32457,                0.15429,                 1.9247,                 3.5419,                 2.0983,                 1.9508,               0.009406,               0.009406,               0.009406
                     62,                 1.2245,                 2.2403,                 1.0704,                  1.198,                0.50332,                 0.3777,                0.36163,                0.17998,                0.39667,                 0.3946,                0.31004,                0.13697,                 1.9102,                 3.5315,                  2.252,                 1.9668,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.2299,                 2.2621,                 1.0775,                 1.2071,                0.49333,                0.43263,                 0.3503,                0.16481,                0.45324,                 0.3997,                0.32125,                0.13361,                 1.8958,                 3.5941,                 2.2002,                 1.9584,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.2245,                 2.2673,                 1.0889,                  1.207,                0.46262,                 0.4128,                0.33843,                0.15288,                0.41338,                0.37535,                0.27896,                0.11681,                 1.9636,                 3.5857,                 2.3791,                 2.0305,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.2185,                 2.2464,                 1.0718,                 1.2074,                0.49649,                0.40816,                0.36284,                 0.1658,                0.45387,                0.37013,                0.30483,                0.13149,                 1.8635,                  3.557,                 2.1655,                 1.9327,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.2162,                 2.2083,                 1.0652,                 1.1972,                 0.4605,                 0.4139,                0.35796,                 0.1736,                0.44654,                0.40225,                0.32118,                0.13215,                 1.8693,                 3.8391,                 2.2596,                 1.8988,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.1951,                 2.2178,                 1.0514,                 1.1948,                0.54143,                0.32801,                0.35012,                0.16831,                0.48395,                0.29517,                0.28386,                0.12824,                 1.8968,                 3.6797,                 2.2687,                 1.9782,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.1973,                 2.1923,                 1.0331,                 1.1813,                0.48218,                0.38053,                0.34686,                0.16705,                0.42587,                0.34694,                0.29789,                 0.1342,                 1.9658,                 3.5335,                 2.3819,                  2.059,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.1848,                 2.1944,                 1.0294,                 1.1795,                 0.4488,                0.42661,                0.36847,                0.17001,                0.49495,                0.36653,                0.32776,                0.13486,                 1.9534,                 3.5722,                 2.0555,                 2.0282,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.2009,                 2.1913,                 1.0391,                 1.1866,                0.61688,                0.37141,                0.38846,                0.18541,                 0.5629,                0.33936,                0.34455,                 0.1545,                  1.964,                 3.6937,                 2.1694,                 2.0764,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.1903,                  2.175,                 1.0278,                 1.1828,                0.42057,                0.37402,                0.35318,                0.16518,                0.38603,                0.32977,                0.28661,                0.12761,                 1.8941,                 3.6161,                 2.2618,                 1.9592,               0.009307,               0.009307,               0.009307
                     72,                 1.1821,                 2.1663,                 1.0059,                 1.1744,                0.42578,                0.44309,                0.37107,                0.18483,                0.41264,                0.43561,                0.33821,                 0.1562,                 1.9373,                 3.4783,                 2.1715,                  1.922,              0.0092971,              0.0092971,              0.0092971
                     73,                   1.18,                 2.1585,                  1.009,                  1.179,                0.48746,                0.36839,                0.32134,                0.16089,                0.45809,                0.34288,                0.28139,                0.13053,                   1.96,                 3.6021,                 2.2538,                 1.9823,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.1708,                 2.1605,                 1.0036,                 1.1674,                0.46388,                0.36793,                0.33195,                0.15823,                0.45755,                0.36282,                0.29281,                0.13121,                  2.082,                 3.5928,                 2.2001,                 2.1031,              0.0092773,              0.0092773,              0.0092773
                     75,                  1.174,                 2.1414,                0.98764,                 1.1656,                0.61343,                0.36848,                0.36774,                0.18129,                0.56421,                0.34066,                0.30893,                0.13763,                  2.009,                 3.8353,                 2.3587,                 2.0649,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.1769,                 2.1555,                0.98923,                 1.1662,                0.48493,                 0.3997,                0.38065,                0.17288,                0.44077,                0.37755,                 0.3119,                0.13693,                 1.9717,                 3.7131,                 2.1943,                 2.0256,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.1624,                  2.148,                0.98766,                 1.1636,                0.52922,                0.37303,                0.38414,                0.17489,                0.42315,                0.38439,                0.31912,                0.14279,                 1.9199,                 3.8664,                 2.1811,                 1.9793,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.1654,                 2.1431,                0.97983,                 1.1606,                0.42121,                0.42886,                0.37867,                0.18766,                0.41822,                0.43188,                 0.3481,                0.15296,                 1.8921,                 3.4205,                 2.1295,                 1.9465,              0.0092377,              0.0092377,              0.0092377
                     79,                   1.15,                 2.1212,                0.96319,                 1.1532,                0.50758,                0.39912,                0.37891,                0.16918,                0.50151,                 0.3946,                0.34289,                0.13875,                 1.9436,                 3.5043,                 2.1858,                 2.0176,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.1617,                  2.139,                0.98513,                 1.1702,                0.47504,                0.35714,                0.33941,                0.17191,                0.45244,                0.34126,                 0.3149,                0.14823,                 1.9593,                 3.5785,                 2.3483,                 2.0403,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.1615,                 2.1274,                0.98304,                 1.1677,                0.61251,                0.37165,                0.41422,                0.19942,                0.55612,                0.33871,                0.35412,                0.16267,                 1.9255,                 3.5163,                 1.9906,                 1.9101,               0.009208,               0.009208,               0.009208
                     82,                 1.1546,                 2.1417,                0.97146,                 1.1626,                 0.3734,                0.39344,                0.32993,                0.15479,                0.31647,                0.35098,                0.26848,                 0.1232,                 2.0007,                 3.5733,                 2.4713,                 2.0386,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.1452,                 2.1225,                0.95444,                 1.1527,                0.53312,                0.37665,                0.36873,                0.16112,                0.46592,                0.33684,                0.29514,                0.12106,                 1.9595,                 3.7661,                  2.222,                 2.0258,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.1607,                 2.1299,                0.95633,                 1.1575,                 0.5342,                0.38891,                0.36419,                 0.1738,                0.41089,                0.40096,                0.32499,                0.13547,                 1.9733,                 3.7909,                 2.2122,                 2.0311,              0.0091783,              0.0091783,              0.0091783
                     85,                   1.12,                 2.0823,                0.95179,                 1.1494,                0.57187,                0.41895,                0.42298,                0.21298,                0.53299,                0.37129,                0.36809,                0.16544,                 1.8323,                 3.6704,                 2.0958,                 1.8978,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.1267,                 2.0706,                 0.9307,                 1.1438,                0.47971,                0.40538,                0.33688,                0.16242,                0.44326,                0.39007,                0.30494,                 0.1353,                 1.9144,                 3.6566,                 2.3105,                 2.0276,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.1465,                 2.0936,                 0.9496,                 1.1505,                0.47922,                0.42017,                0.34723,                0.16436,                0.48029,                0.37755,                0.31483,                  0.144,                  1.923,                  3.657,                 2.2789,                 2.0562,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.1259,                 2.0775,                 0.9302,                 1.1403,                0.42552,                0.42852,                0.37032,                0.17397,                0.47049,                0.35344,                0.31966,                0.13334,                 1.9255,                 3.7403,                 2.2853,                 2.0059,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.1319,                 2.0628,                0.93081,                 1.1464,                0.49989,                0.36282,                0.32306,                0.14522,                  0.474,                 0.3532,                0.29394,                0.12635,                  1.986,                 3.8207,                 2.4863,                 2.0582,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.1313,                 2.0723,                0.92796,                 1.1368,                0.45218,                0.39344,                0.34774,                0.16807,                0.41202,                0.36051,                0.28783,                0.13666,                 1.9171,                 3.8731,                 2.3186,                 2.0527,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.1139,                 2.0677,                0.91807,                 1.1294,                0.48911,                0.46832,                0.37242,                0.17556,                0.48495,                0.39121,                0.32738,                0.13928,                 1.9502,                 3.8478,                 2.0478,                 2.0297,               0.009109,               0.009109,               0.009109
                     92,                 1.1096,                 2.0611,                 0.9262,                 1.1354,                0.57342,                0.43837,                0.42157,                0.19515,                0.53306,                0.39123,                0.36381,                0.15482,                 1.9674,                 3.8516,                 2.2554,                 2.0877,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.1109,                  2.054,                0.91568,                 1.1378,                0.53447,                 0.3997,                0.40507,                 0.1878,                0.52154,                0.38381,                0.36312,                0.15784,                 1.9293,                 3.5894,                 2.2674,                 2.0214,              0.0090892,              0.0090892,              0.0090892
